"name" "number_of_ncMARs"
"1034" "TRIM71" 1
"1035" "TRIO" 1
"1036" "TRPM6" 1
"1037" "TTC29" 1
"1038" "TTLL5" 1
"1039" "TTN" 1
"1040" "U2SURP" 1
"1041" "UNC5C" 1
"1042" "UPF2" 1
"1043" "VAV3" 1
"1044" "VPS13B-DT" 1
"1045" "VPS36" 1
"1046" "WIF1" 1
"1047" "WNT8B" 1
"1048" "WT1" 1
"1049" "XYLT1" 1
"1050" "Z84492.1" 1
"1051" "ZBTB20-AS3" 1
"1052" "ZBTB20-AS5" 1
"1053" "ZC3H3" 1
"1054" "ZCCHC24" 1
"1055" "ZFC3H1" 1
"1056" "ZHX3" 1
"1057" "ZIC4" 1
"1058" "ZMIZ1-AS1" 1
"1059" "ZNF503-AS2" 1
"1060" "ZNF608" 1
"1061" "ZSWIM6" 1
