group	group_name	seqnames	start	end	width	strand	element_accelerated_ranking_name
1294	NA	chr7	33794680	33794685	6	*	ncAvAR-1294
1294	NA	chr7	33794650	33794678	29	*	ncAvAR-1294
1294	NA	chr7	33794565	33794649	85	*	ncAvAR-1294
1294	NA	chr7	33794516	33794560	45	*	ncAvAR-1294
1295	NA	chr2	161708550	161708569	20	*	ncAvAR-1295
1295	NA	chr2	161708489	161708549	61	*	ncAvAR-1295
1295	NA	chr2	161708428	161708486	59	*	ncAvAR-1295
1296	NA	chr13	35836707	35836733	27	*	ncAvAR-1296
1296	NA	chr13	35836680	35836706	27	*	ncAvAR-1296
1296	NA	chr13	35836612	35836679	68	*	ncAvAR-1296
1296	NA	chr13	35836597	35836611	15	*	ncAvAR-1296
1296	NA	chr13	35836560	35836595	36	*	ncAvAR-1296
1296	NA	chr13	35836554	35836559	6	*	ncAvAR-1296
1297	NA	chr4	123470793	123470820	28	*	ncAvAR-1297
1297	NA	chr4	123470672	123470790	119	*	ncAvAR-1297
1297	NA	chr4	123470635	123470665	31	*	ncAvAR-1297
1297	NA	chr4	123470598	123470625	28	*	ncAvAR-1297
1298	NA	chr2	85742529	85742656	128	*	ncAvAR-1298
1298	NA	chr2	85742659	85742717	59	*	ncAvAR-1298
1300	NA	chr21	38489013	38489070	58	*	ncAvAR-1300
1300	NA	chr21	38489072	38489090	19	*	ncAvAR-1300
1300	NA	chr21	38489091	38489204	114	*	ncAvAR-1300
1302	NA	chrX	45454269	45454297	29	*	ncAvAR-1302
1302	NA	chrX	45454185	45454267	83	*	ncAvAR-1302
1302	NA	chrX	45454126	45454184	59	*	ncAvAR-1302
1302	NA	chrX	45454110	45454124	15	*	ncAvAR-1302
1302	NA	chrX	45454102	45454108	7	*	ncAvAR-1302
1303	NA	chr2	103140153	103140218	66	*	ncAvAR-1303
1303	NA	chr2	103140148	103140152	5	*	ncAvAR-1303
1303	NA	chr2	103140069	103140144	76	*	ncAvAR-1303
1303	NA	chr2	103140029	103140067	39	*	ncAvAR-1303
1305	NA	chr10	76970581	76970600	20	*	ncAvAR-1305
1305	NA	chr10	76970566	76970580	15	*	ncAvAR-1305
1305	NA	chr10	76970559	76970565	7	*	ncAvAR-1305
1305	NA	chr10	76970525	76970558	34	*	ncAvAR-1305
1305	NA	chr10	76970462	76970524	63	*	ncAvAR-1305
1305	NA	chr10	76970451	76970457	7	*	ncAvAR-1305
1305	NA	chr10	76970438	76970450	13	*	ncAvAR-1305
1305	NA	chr10	76970401	76970437	37	*	ncAvAR-1305
1306	NA	chr20	25116929	25116955	27	*	ncAvAR-1306
1306	NA	chr20	25116956	25116996	41	*	ncAvAR-1306
1306	NA	chr20	25116999	25117017	19	*	ncAvAR-1306
1306	NA	chr20	25117021	25117033	13	*	ncAvAR-1306
1306	NA	chr20	25117034	25117113	80	*	ncAvAR-1306
1306	NA	chr20	25117115	25117156	42	*	ncAvAR-1306
1306	NA	chr20	25117157	25117206	50	*	ncAvAR-1306
1306	NA	chr20	25117216	25117229	14	*	ncAvAR-1306
1306	NA	chr20	25117230	25117319	90	*	ncAvAR-1306
1306	NA	chr20	25117320	25117339	20	*	ncAvAR-1306
1307	NA	chr13	112346383	112346385	3	*	ncAvAR-1307
1307	NA	chr13	112346391	112346403	13	*	ncAvAR-1307
1307	NA	chr13	112346404	112346423	20	*	ncAvAR-1307
1307	NA	chr13	112346424	112346439	16	*	ncAvAR-1307
1307	NA	chr13	112346441	112346480	40	*	ncAvAR-1307
1307	NA	chr13	112346481	112346719	239	*	ncAvAR-1307
1307	NA	chr13	112346720	112346790	71	*	ncAvAR-1307
1307	NA	chr13	112346792	112346799	8	*	ncAvAR-1307
1308	NA	chr5	4732370	4732387	18	*	ncAvAR-1308
1308	NA	chr5	4732278	4732367	90	*	ncAvAR-1308
1308	NA	chr5	4732252	4732271	20	*	ncAvAR-1308
1308	NA	chr5	4732233	4732251	19	*	ncAvAR-1308
1308	NA	chr5	4732225	4732232	8	*	ncAvAR-1308
1308	NA	chr5	4732215	4732224	10	*	ncAvAR-1308
1308	NA	chr5	4732179	4732214	36	*	ncAvAR-1308
1308	NA	chr5	4732158	4732177	20	*	ncAvAR-1308
1308	NA	chr5	4732143	4732157	15	*	ncAvAR-1308
1308	NA	chr5	4732116	4732142	27	*	ncAvAR-1308
1308	NA	chr5	4732090	4732115	26	*	ncAvAR-1308
1308	NA	chr5	4732072	4732089	18	*	ncAvAR-1308
1308	NA	chr5	4732063	4732071	9	*	ncAvAR-1308
1308	NA	chr5	4732022	4732062	41	*	ncAvAR-1308
1309	NA	chr10	129580829	129580852	24	*	ncAvAR-1309
1309	NA	chr10	129580853	129580914	62	*	ncAvAR-1309
1309	NA	chr10	129580915	129580942	28	*	ncAvAR-1309
1309	NA	chr10	129580943	129580987	45	*	ncAvAR-1309
1311	NA	chr16	73138274	73138287	14	*	ncAvAR-1311
1311	NA	chr16	73138148	73138273	126	*	ncAvAR-1311
1311	NA	chr16	73138110	73138144	35	*	ncAvAR-1311
1311	NA	chr16	73138099	73138108	10	*	ncAvAR-1311
1311	NA	chr16	73138076	73138094	19	*	ncAvAR-1311
1312	NA	chr12	85392641	85392669	29	*	ncAvAR-1312
1312	NA	chr12	85392674	85392689	16	*	ncAvAR-1312
1312	NA	chr12	85392691	85392719	29	*	ncAvAR-1312
1312	NA	chr12	85392720	85392728	9	*	ncAvAR-1312
1312	NA	chr12	85392729	85392881	153	*	ncAvAR-1312
1312	NA	chr12	85392882	85392914	33	*	ncAvAR-1312
1312	NA	chr12	85392915	85393015	101	*	ncAvAR-1312
1312	NA	chr12	85393016	85393035	20	*	ncAvAR-1312
1313	NA	chr7	157193411	157193446	36	*	ncAvAR-1313
1313	NA	chr7	157193448	157193477	30	*	ncAvAR-1313
1313	NA	chr7	157193479	157193520	42	*	ncAvAR-1313
1313	NA	chr7	157193521	157193569	49	*	ncAvAR-1313
1313	NA	chr7	157193572	157193606	35	*	ncAvAR-1313
1314	NA	chr7	28714626	28714960	335	*	ncAvAR-1314
1314	NA	chr7	28714963	28715043	81	*	ncAvAR-1314
1315	NA	chr6	106109083	106109083	1	*	ncAvAR-1315
1315	NA	chr6	106109070	106109082	13	*	ncAvAR-1315
1315	NA	chr6	106109040	106109069	30	*	ncAvAR-1315
1315	NA	chr6	106108986	106109039	54	*	ncAvAR-1315
1315	NA	chr6	106108901	106108985	85	*	ncAvAR-1315
1315	NA	chr6	106108890	106108900	11	*	ncAvAR-1315
1315	NA	chr6	106108858	106108886	29	*	ncAvAR-1315
1315	NA	chr6	106108781	106108857	77	*	ncAvAR-1315
1315	NA	chr6	106108681	106108780	100	*	ncAvAR-1315
1316	NA	chr6	98639958	98639959	2	*	ncAvAR-1316
1316	NA	chr6	98639931	98639951	21	*	ncAvAR-1316
1316	NA	chr6	98639913	98639927	15	*	ncAvAR-1316
1316	NA	chr6	98639862	98639912	51	*	ncAvAR-1316
1316	NA	chr6	98639840	98639860	21	*	ncAvAR-1316
1316	NA	chr6	98639809	98639837	29	*	ncAvAR-1316
1316	NA	chr6	98639733	98639808	76	*	ncAvAR-1316
1316	NA	chr6	98639693	98639732	40	*	ncAvAR-1316
1316	NA	chr6	98639684	98639689	6	*	ncAvAR-1316
1316	NA	chr6	98639658	98639683	26	*	ncAvAR-1316
1316	NA	chr6	98639540	98639657	118	*	ncAvAR-1316
1317	NA	chr2	144402291	144402703	413	*	ncAvAR-1317
1318	NA	chr2	178802135	178802343	209	*	ncAvAR-1318
1319	NA	chr2	145927848	145927859	12	*	ncAvAR-1319
1319	NA	chr2	145927861	145927886	26	*	ncAvAR-1319
1319	NA	chr2	145927888	145927957	70	*	ncAvAR-1319
1319	NA	chr2	145927958	145928193	236	*	ncAvAR-1319
1319	NA	chr2	145928194	145928245	52	*	ncAvAR-1319
1319	NA	chr2	145928246	145928253	8	*	ncAvAR-1319
1320	NA	chr1	164723887	164723893	7	*	ncAvAR-1320
1320	NA	chr1	164723683	164723884	202	*	ncAvAR-1320
1321	NA	chr1	87450727	87450771	45	*	ncAvAR-1321
1321	NA	chr1	87450581	87450725	145	*	ncAvAR-1321
1321	NA	chr1	87450397	87450579	183	*	ncAvAR-1321
1321	NA	chr1	87450298	87450394	97	*	ncAvAR-1321
1321	NA	chr1	87450276	87450297	22	*	ncAvAR-1321
1321	NA	chr1	87450204	87450275	72	*	ncAvAR-1321
1321	NA	chr1	87450145	87450203	59	*	ncAvAR-1321
1322	NA	chrX	24369871	24369908	38	*	ncAvAR-1322
1322	NA	chrX	24369746	24369870	125	*	ncAvAR-1322
1322	NA	chrX	24369728	24369743	16	*	ncAvAR-1322
1322	NA	chrX	24369704	24369720	17	*	ncAvAR-1322
1323	NA	chr13	78960962	78960987	26	*	ncAvAR-1323
1323	NA	chr13	78960937	78960961	25	*	ncAvAR-1323
1323	NA	chr13	78960919	78960936	18	*	ncAvAR-1323
1323	NA	chr13	78960864	78960915	52	*	ncAvAR-1323
1325	NA	chr7	26600448	26600457	10	*	ncAvAR-1325
1325	NA	chr7	26600458	26600469	12	*	ncAvAR-1325
1325	NA	chr7	26600471	26600497	27	*	ncAvAR-1325
1325	NA	chr7	26600498	26600801	304	*	ncAvAR-1325
1325	NA	chr7	26600803	26600863	61	*	ncAvAR-1325
1326	NA	chr6	88162226	88162251	26	*	ncAvAR-1326
1326	NA	chr6	88162164	88162225	62	*	ncAvAR-1326
1326	NA	chr6	88162118	88162163	46	*	ncAvAR-1326
1326	NA	chr6	88162084	88162117	34	*	ncAvAR-1326
1326	NA	chr6	88162060	88162083	24	*	ncAvAR-1326
1328	NA	chr22	35134705	35134759	55	*	ncAvAR-1328
1328	NA	chr22	35134760	35134782	23	*	ncAvAR-1328
1328	NA	chr22	35134783	35134833	51	*	ncAvAR-1328
1328	NA	chr22	35134836	35134848	13	*	ncAvAR-1328
1328	NA	chr22	35134849	35134867	19	*	ncAvAR-1328
1328	NA	chr22	35134868	35134888	21	*	ncAvAR-1328
1328	NA	chr22	35134889	35134906	18	*	ncAvAR-1328
1330	NA	chr1	221101315	221101344	30	*	ncAvAR-1330
1330	NA	chr1	221100924	221101313	390	*	ncAvAR-1330
1331	NA	chr18	25635827	25635829	3	*	ncAvAR-1331
1331	NA	chr18	25635831	25635943	113	*	ncAvAR-1331
1331	NA	chr18	25635944	25635955	12	*	ncAvAR-1331
1331	NA	chr18	25635956	25636017	62	*	ncAvAR-1331
1331	NA	chr18	25636027	25636240	214	*	ncAvAR-1331
1331	NA	chr18	25636241	25636253	13	*	ncAvAR-1331
1333	NA	chr14	37549734	37549750	17	*	ncAvAR-1333
1333	NA	chr14	37549751	37549769	19	*	ncAvAR-1333
1333	NA	chr14	37549770	37549852	83	*	ncAvAR-1333
1333	NA	chr14	37549853	37549885	33	*	ncAvAR-1333
1334	NA	chr14	79319316	79319460	145	*	ncAvAR-1334
1334	NA	chr14	79319461	79319495	35	*	ncAvAR-1334
1334	NA	chr14	79319496	79319500	5	*	ncAvAR-1334
1334	NA	chr14	79319501	79319516	16	*	ncAvAR-1334
1336	NA	chr1	163970897	163970913	17	*	ncAvAR-1336
1336	NA	chr1	163970709	163970895	187	*	ncAvAR-1336
1336	NA	chr1	163970691	163970697	7	*	ncAvAR-1336
1337	NA	chr3	169052946	169052972	27	*	ncAvAR-1337
1337	NA	chr3	169052908	169052945	38	*	ncAvAR-1337
1337	NA	chr3	169052883	169052907	25	*	ncAvAR-1337
1337	NA	chr3	169052656	169052879	224	*	ncAvAR-1337
1337	NA	chr3	169052637	169052655	19	*	ncAvAR-1337
1337	NA	chr3	169052614	169052626	13	*	ncAvAR-1337
1337	NA	chr3	169052561	169052601	41	*	ncAvAR-1337
1337	NA	chr3	169052554	169052560	7	*	ncAvAR-1337
1339	NA	chr3	17661070	17661099	30	*	ncAvAR-1339
1339	NA	chr3	17661100	17661129	30	*	ncAvAR-1339
1339	NA	chr3	17661130	17661273	144	*	ncAvAR-1339
1339	NA	chr3	17661275	17661279	5	*	ncAvAR-1339
1340	NA	chr5	2833536	2833554	19	*	ncAvAR-1340
1340	NA	chr5	2833555	2833581	27	*	ncAvAR-1340
1340	NA	chr5	2833583	2833619	37	*	ncAvAR-1340
1340	NA	chr5	2833625	2833660	36	*	ncAvAR-1340
1340	NA	chr5	2833661	2833702	42	*	ncAvAR-1340
1340	NA	chr5	2833703	2833725	23	*	ncAvAR-1340
1340	NA	chr5	2833726	2833866	141	*	ncAvAR-1340
1340	NA	chr5	2833870	2833877	8	*	ncAvAR-1340
1340	NA	chr5	2833880	2833891	12	*	ncAvAR-1340
1340	NA	chr5	2833892	2833928	37	*	ncAvAR-1340
1340	NA	chr5	2833929	2833943	15	*	ncAvAR-1340
1341	NA	chr6	124361115	124361115	1	*	ncAvAR-1341
1341	NA	chr6	124361091	124361114	24	*	ncAvAR-1341
1341	NA	chr6	124361079	124361090	12	*	ncAvAR-1341
1341	NA	chr6	124360976	124361078	103	*	ncAvAR-1341
1341	NA	chr6	124360959	124360975	17	*	ncAvAR-1341
1341	NA	chr6	124360888	124360958	71	*	ncAvAR-1341
1341	NA	chr6	124360857	124360887	31	*	ncAvAR-1341
1341	NA	chr6	124360806	124360856	51	*	ncAvAR-1341
1341	NA	chr6	124360781	124360805	25	*	ncAvAR-1341
1341	NA	chr6	124360753	124360779	27	*	ncAvAR-1341
1342	NA	chr14	29454122	29454203	82	*	ncAvAR-1342
1342	NA	chr14	29454204	29454219	16	*	ncAvAR-1342
1342	NA	chr14	29454220	29454247	28	*	ncAvAR-1342
1342	NA	chr14	29454248	29454374	127	*	ncAvAR-1342
1342	NA	chr14	29454379	29454514	136	*	ncAvAR-1342
1342	NA	chr14	29454517	29454592	76	*	ncAvAR-1342
1342	NA	chr14	29454594	29454745	152	*	ncAvAR-1342
1342	NA	chr14	29454747	29454762	16	*	ncAvAR-1342
1343	NA	chr2	174158952	174159288	337	*	ncAvAR-1343
1343	NA	chr2	174158934	174158949	16	*	ncAvAR-1343
1343	NA	chr2	174158894	174158928	35	*	ncAvAR-1343
1343	NA	chr2	174158853	174158888	36	*	ncAvAR-1343
1345	NA	chr10	33244691	33244735	45	*	ncAvAR-1345
1345	NA	chr10	33244620	33244690	71	*	ncAvAR-1345
1345	NA	chr10	33244529	33244619	91	*	ncAvAR-1345
1345	NA	chr10	33244353	33244526	174	*	ncAvAR-1345
1345	NA	chr10	33244337	33244351	15	*	ncAvAR-1345
1345	NA	chr10	33244322	33244336	15	*	ncAvAR-1345
1346	NA	chr7	89728487	89728508	22	*	ncAvAR-1346
1346	NA	chr7	89728509	89728541	33	*	ncAvAR-1346
1346	NA	chr7	89728546	89728762	217	*	ncAvAR-1346
1346	NA	chr7	89728765	89728913	149	*	ncAvAR-1346
1348	NA	chr13	99662185	99662201	17	*	ncAvAR-1348
1348	NA	chr13	99662167	99662183	17	*	ncAvAR-1348
1348	NA	chr13	99662119	99662166	48	*	ncAvAR-1348
1348	NA	chr13	99662076	99662118	43	*	ncAvAR-1348
1348	NA	chr13	99662000	99662017	18	*	ncAvAR-1348
1348	NA	chr13	99661982	99661999	18	*	ncAvAR-1348
1348	NA	chr13	99661925	99661981	57	*	ncAvAR-1348
1348	NA	chr13	99661777	99661923	147	*	ncAvAR-1348
1349	NA	chr8	92065692	92065736	45	*	ncAvAR-1349
1349	NA	chr8	92065737	92065762	26	*	ncAvAR-1349
1349	NA	chr8	92065763	92066397	635	*	ncAvAR-1349
1349	NA	chr8	92066400	92066541	142	*	ncAvAR-1349
1350	NA	chrX	920785	920789	5	*	ncAvAR-1350
1350	NA	chrX	920741	920784	44	*	ncAvAR-1350
1350	NA	chrX	920676	920739	64	*	ncAvAR-1350
1350	NA	chrX	920576	920674	99	*	ncAvAR-1350
1350	NA	chrX	920544	920575	32	*	ncAvAR-1350
1350	NA	chrX	920455	920543	89	*	ncAvAR-1350
1350	NA	chrX	920399	920449	51	*	ncAvAR-1350
1350	NA	chrX	920327	920398	72	*	ncAvAR-1350
1350	NA	chrX	920204	920326	123	*	ncAvAR-1350
1352	NA	chr11	31798227	31798306	80	*	ncAvAR-1352
1352	NA	chr11	31798307	31798316	10	*	ncAvAR-1352
1352	NA	chr11	31798317	31798392	76	*	ncAvAR-1352
1352	NA	chr11	31798394	31798415	22	*	ncAvAR-1352
1352	NA	chr11	31798416	31798423	8	*	ncAvAR-1352
1352	NA	chr11	31798425	31798435	11	*	ncAvAR-1352
1354	NA	chr1	44320574	44320580	7	*	ncAvAR-1354
1354	NA	chr1	44320593	44320602	10	*	ncAvAR-1354
1354	NA	chr1	44320619	44320761	143	*	ncAvAR-1354
1354	NA	chr1	44320762	44320766	5	*	ncAvAR-1354
1354	NA	chr1	44320767	44320780	14	*	ncAvAR-1354
1354	NA	chr1	44320782	44320810	29	*	ncAvAR-1354
1355	NA	chr12	113869806	113869833	28	*	ncAvAR-1355
1355	NA	chr12	113869755	113869805	51	*	ncAvAR-1355
1355	NA	chr12	113869739	113869754	16	*	ncAvAR-1355
1355	NA	chr12	113869717	113869736	20	*	ncAvAR-1355
1355	NA	chr12	113869690	113869710	21	*	ncAvAR-1355
1355	NA	chr12	113869676	113869689	14	*	ncAvAR-1355
1355	NA	chr12	113869522	113869674	153	*	ncAvAR-1355
1355	NA	chr12	113869464	113869517	54	*	ncAvAR-1355
1356	NA	chr10	29226247	29226322	76	*	ncAvAR-1356
1356	NA	chr10	29226216	29226241	26	*	ncAvAR-1356
1356	NA	chr10	29226203	29226212	10	*	ncAvAR-1356
1356	NA	chr10	29226105	29226202	98	*	ncAvAR-1356
1357	NA	chr8	59030484	59030511	28	*	ncAvAR-1357
1357	NA	chr8	59030512	59030533	22	*	ncAvAR-1357
1357	NA	chr8	59030537	59030615	79	*	ncAvAR-1357
1357	NA	chr8	59030616	59030661	46	*	ncAvAR-1357
1357	NA	chr8	59030662	59030671	10	*	ncAvAR-1357
1357	NA	chr8	59030673	59030687	15	*	ncAvAR-1357
1358	NA	chr6	163983337	163983344	8	*	ncAvAR-1358
1358	NA	chr6	163983247	163983336	90	*	ncAvAR-1358
1358	NA	chr6	163983222	163983243	22	*	ncAvAR-1358
1358	NA	chr6	163983136	163983220	85	*	ncAvAR-1358
1359	NA	chr3	18189173	18189276	104	*	ncAvAR-1359
1359	NA	chr3	18189277	18189288	12	*	ncAvAR-1359
1359	NA	chr3	18189289	18189411	123	*	ncAvAR-1359
1359	NA	chr3	18189413	18189430	18	*	ncAvAR-1359
1359	NA	chr3	18189431	18189512	82	*	ncAvAR-1359
1359	NA	chr3	18189513	18189571	59	*	ncAvAR-1359
1359	NA	chr3	18189572	18189590	19	*	ncAvAR-1359
1360	NA	chr18	25709716	25709758	43	*	ncAvAR-1360
1360	NA	chr18	25709759	25709859	101	*	ncAvAR-1360
1360	NA	chr18	25709860	25709932	73	*	ncAvAR-1360
1360	NA	chr18	25709934	25709999	66	*	ncAvAR-1360
1360	NA	chr18	25710001	25710038	38	*	ncAvAR-1360
1360	NA	chr18	25710040	25710070	31	*	ncAvAR-1360
1360	NA	chr18	25710074	25710101	28	*	ncAvAR-1360
1360	NA	chr18	25710103	25710144	42	*	ncAvAR-1360
1361	NA	chr3	113232541	113232564	24	*	ncAvAR-1361
1361	NA	chr3	113232497	113232540	44	*	ncAvAR-1361
1361	NA	chr3	113232472	113232493	22	*	ncAvAR-1361
1361	NA	chr3	113232453	113232463	11	*	ncAvAR-1361
1361	NA	chr3	113232410	113232421	12	*	ncAvAR-1361
1361	NA	chr3	113232366	113232390	25	*	ncAvAR-1361
1361	NA	chr3	113232319	113232365	47	*	ncAvAR-1361
1361	NA	chr3	113232298	113232317	20	*	ncAvAR-1361
1361	NA	chr3	113232286	113232290	5	*	ncAvAR-1361
1363	NA	chr5	134789290	134789293	4	*	ncAvAR-1363
1363	NA	chr5	134789150	134789289	140	*	ncAvAR-1363
1363	NA	chr5	134789131	134789145	15	*	ncAvAR-1363
1363	NA	chr5	134789111	134789130	20	*	ncAvAR-1363
1363	NA	chr5	134789082	134789110	29	*	ncAvAR-1363
1364	NA	chr7	25562844	25562884	41	*	ncAvAR-1364
1364	NA	chr7	25562885	25563039	155	*	ncAvAR-1364
1364	NA	chr7	25563040	25563055	16	*	ncAvAR-1364
1365	NA	chr8	54178431	54178495	65	*	ncAvAR-1365
1365	NA	chr8	54178499	54178647	149	*	ncAvAR-1365
1366	NA	chr11	126940332	126940524	193	*	ncAvAR-1366
1366	NA	chr11	126940526	126940546	21	*	ncAvAR-1366
1367	NA	chr1	213841460	213841523	64	*	ncAvAR-1367
1367	NA	chr1	213841423	213841459	37	*	ncAvAR-1367
1367	NA	chr1	213841373	213841422	50	*	ncAvAR-1367
1367	NA	chr1	213841347	213841372	26	*	ncAvAR-1367
1368	NA	chr7	70552785	70552799	15	*	ncAvAR-1368
1368	NA	chr7	70552778	70552784	7	*	ncAvAR-1368
1368	NA	chr7	70552756	70552777	22	*	ncAvAR-1368
1368	NA	chr7	70552711	70552755	45	*	ncAvAR-1368
1368	NA	chr7	70552707	70552710	4	*	ncAvAR-1368
1368	NA	chr7	70552646	70552705	60	*	ncAvAR-1368
1368	NA	chr7	70552637	70552645	9	*	ncAvAR-1368
1368	NA	chr7	70552632	70552636	5	*	ncAvAR-1368
1368	NA	chr7	70552606	70552627	22	*	ncAvAR-1368
1369	NA	chr6	18678246	18678257	12	*	ncAvAR-1369
1369	NA	chr6	18678117	18678245	129	*	ncAvAR-1369
1369	NA	chr6	18678068	18678116	49	*	ncAvAR-1369
1369	NA	chr6	18678052	18678063	12	*	ncAvAR-1369
1369	NA	chr6	18678041	18678047	7	*	ncAvAR-1369
1371	NA	chr5	167844466	167844532	67	*	ncAvAR-1371
1371	NA	chr5	167844175	167844465	291	*	ncAvAR-1371
1371	NA	chr5	167844147	167844174	28	*	ncAvAR-1371
1371	NA	chr5	167844096	167844138	43	*	ncAvAR-1371
1372	NA	chr7	158373063	158373181	119	*	ncAvAR-1372
1372	NA	chr7	158373186	158373196	11	*	ncAvAR-1372
1372	NA	chr7	158373197	158373266	70	*	ncAvAR-1372
1372	NA	chr7	158373267	158373391	125	*	ncAvAR-1372
1372	NA	chr7	158373392	158373423	32	*	ncAvAR-1372
1373	NA	chr2	30159065	30159074	10	*	ncAvAR-1373
1373	NA	chr2	30159009	30159063	55	*	ncAvAR-1373
1373	NA	chr2	30158967	30159000	34	*	ncAvAR-1373
1373	NA	chr2	30158956	30158966	11	*	ncAvAR-1373
1373	NA	chr2	30158892	30158955	64	*	ncAvAR-1373
1373	NA	chr2	30158878	30158891	14	*	ncAvAR-1373
1376	NA	chr7	157664158	157664184	27	*	ncAvAR-1376
1376	NA	chr7	157664185	157664250	66	*	ncAvAR-1376
1376	NA	chr7	157664251	157664330	80	*	ncAvAR-1376
1376	NA	chr7	157664331	157664364	34	*	ncAvAR-1376
1377	NA	chr10	75839040	75839421	382	*	ncAvAR-1377
1377	NA	chr10	75839018	75839030	13	*	ncAvAR-1377
1378	NA	chrX	461197	461216	20	*	ncAvAR-1378
1378	NA	chrX	461174	461196	23	*	ncAvAR-1378
1378	NA	chrX	461160	461173	14	*	ncAvAR-1378
1378	NA	chrX	461142	461159	18	*	ncAvAR-1378
1378	NA	chrX	461087	461141	55	*	ncAvAR-1378
1378	NA	chrX	460926	461085	160	*	ncAvAR-1378
1378	NA	chrX	460886	460914	29	*	ncAvAR-1378
1378	NA	chrX	460851	460884	34	*	ncAvAR-1378
1378	NA	chrX	460816	460850	35	*	ncAvAR-1378
1378	NA	chrX	460799	460813	15	*	ncAvAR-1378
1379	NA	chr7	18520707	18520719	13	*	ncAvAR-1379
1379	NA	chr7	18520720	18520774	55	*	ncAvAR-1379
1379	NA	chr7	18520776	18520966	191	*	ncAvAR-1379
1379	NA	chr7	18520968	18521108	141	*	ncAvAR-1379
1379	NA	chr7	18521111	18521141	31	*	ncAvAR-1379
1381	NA	chr7	113559985	113559995	11	*	ncAvAR-1381
1381	NA	chr7	113559996	113560053	58	*	ncAvAR-1381
1381	NA	chr7	113560054	113560061	8	*	ncAvAR-1381
1381	NA	chr7	113560062	113560077	16	*	ncAvAR-1381
1381	NA	chr7	113560078	113560113	36	*	ncAvAR-1381
1381	NA	chr7	113560114	113560173	60	*	ncAvAR-1381
1381	NA	chr7	113560186	113560196	11	*	ncAvAR-1381
1383	NA	chr14	76125452	76125521	70	*	ncAvAR-1383
1383	NA	chr14	76125522	76125859	338	*	ncAvAR-1383
1383	NA	chr14	76125873	76125889	17	*	ncAvAR-1383
1383	NA	chr14	76125897	76125905	9	*	ncAvAR-1383
1384	NA	chr14	104470248	104470254	7	*	ncAvAR-1384
1384	NA	chr14	104470255	104470274	20	*	ncAvAR-1384
1384	NA	chr14	104470275	104470407	133	*	ncAvAR-1384
1384	NA	chr14	104470408	104470467	60	*	ncAvAR-1384
1384	NA	chr14	104470468	104470593	126	*	ncAvAR-1384
1384	NA	chr14	104470595	104470608	14	*	ncAvAR-1384
1384	NA	chr14	104470609	104470674	66	*	ncAvAR-1384
1384	NA	chr13	22932735	22932736	2	*	ncAvAR-1384
1385	NA	chr16	1005837	1005872	36	*	ncAvAR-1385
1385	NA	chr16	1005755	1005836	82	*	ncAvAR-1385
1385	NA	chr16	1005691	1005754	64	*	ncAvAR-1385
1385	NA	chr16	1005674	1005689	16	*	ncAvAR-1385
1385	NA	chr16	1005653	1005667	15	*	ncAvAR-1385
1386	NA	chr18	24560217	24560221	5	*	ncAvAR-1386
1386	NA	chr18	24560227	24560875	649	*	ncAvAR-1386
1387	NA	chr4	111884153	111884164	12	*	ncAvAR-1387
1387	NA	chr4	111883715	111884145	431	*	ncAvAR-1387
1387	NA	chr4	111883574	111883711	138	*	ncAvAR-1387
1387	NA	chr4	111883515	111883572	58	*	ncAvAR-1387
1387	NA	chr4	111883508	111883514	7	*	ncAvAR-1387
1388	NA	chr11	82757206	82757397	192	*	ncAvAR-1388
1388	NA	chr11	82757398	82757464	67	*	ncAvAR-1388
1388	NA	chr11	82757466	82757477	12	*	ncAvAR-1388
1388	NA	chr11	82757479	82757574	96	*	ncAvAR-1388
1388	NA	chr11	82757575	82757589	15	*	ncAvAR-1388
1388	NA	chr11	82757593	82757602	10	*	ncAvAR-1388
1388	NA	chr11	82757604	82757620	17	*	ncAvAR-1388
1388	NA	chr11	82757626	82757651	26	*	ncAvAR-1388
1389	NA	chr15	95359945	95360019	75	*	ncAvAR-1389
1389	NA	chr15	95360022	95360335	314	*	ncAvAR-1389
1389	NA	chr15	95360336	95360360	25	*	ncAvAR-1389
1389	NA	chr15	95360364	95360378	15	*	ncAvAR-1389
1390	NA	chr2	57759437	57759847	411	*	ncAvAR-1390
1390	NA	chr2	57759857	57759874	18	*	ncAvAR-1390
1390	NA	chr2	57759876	57759883	8	*	ncAvAR-1390
1392	NA	chr14	98112449	98112482	34	*	ncAvAR-1392
1392	NA	chr14	98112483	98112594	112	*	ncAvAR-1392
1392	NA	chr14	98112595	98112636	42	*	ncAvAR-1392
1392	NA	chr14	98112639	98112653	15	*	ncAvAR-1392
1392	NA	chr14	98112657	98112662	6	*	ncAvAR-1392
1392	NA	chr14	98112664	98112677	14	*	ncAvAR-1392
1392	NA	chr14	98112678	98112703	26	*	ncAvAR-1392
1392	NA	chr14	98112704	98112733	30	*	ncAvAR-1392
1392	NA	chr14	98112734	98112748	15	*	ncAvAR-1392
1392	NA	chr14	98112749	98112779	31	*	ncAvAR-1392
1392	NA	chr14	98112781	98112858	78	*	ncAvAR-1392
1392	NA	chr14	98112862	98112886	25	*	ncAvAR-1392
1392	NA	chr14	98112887	98112917	31	*	ncAvAR-1392
1392	NA	chr14	98112921	98112935	15	*	ncAvAR-1392
1392	NA	chr14	98112936	98112968	33	*	ncAvAR-1392
